iter	Passed	Remaining
0	26	26365
1	54	27061
2	168	55977
3	302	75303
4	375	74666
5	501	83113
6	675	95805
7	700	86815
8	724	79823
9	750	74299
10	775	69683
11	800	65910
12	826	62762
13	850	59884
14	873	57328
15	900	55377
16	927	53611
17	953	51998
18	978	50541
19	1005	49249
20	1027	47908
21	1052	46780
22	1077	45773
23	1102	44851
24	1128	44007
25	1152	43167
26	1176	42393
27	1199	41641
28	1223	40971
29	1247	40334
30	1270	39728
31	1295	39175
32	1320	38694
33	1343	38174
34	1366	37668
35	1386	37116
36	1407	36625
37	1428	36151
38	1451	35775
39	1474	35387
40	1496	34995
41	1516	34599
42	1537	34215
43	1558	33858
44	1580	33533
45	1601	33218
46	1627	33001
47	1649	32706
48	1672	32454
49	1694	32190
50	1716	31939
51	1739	31718
52	1762	31494
53	1783	31245
54	1803	30992
55	1824	30755
56	1845	30528
57	1869	30361
58	1892	30184
59	1915	30010
60	1940	29868
61	1965	29740
62	1989	29591
63	2013	29453
64	2037	29304
65	2059	29147
66	2082	29005
67	2106	28867
68	2130	28748
69	2156	28649
70	2184	28587
71	2207	28453
72	2229	28310
73	2253	28194
74	2274	28052
75	2296	27919
76	2316	27773
77	2337	27636
78	2357	27484
79	2378	27350
80	2398	27207
81	2419	27086
82	2442	26981
83	2463	26861
84	2482	26720
85	2505	26626
86	2529	26549
87	2557	26501
88	2582	26434
89	2608	26377
90	2634	26316
91	2658	26242
92	2684	26181
93	2707	26095
94	2732	26028
95	2755	25943
96	2778	25867
97	2799	25766
98	2821	25674
99	2841	25574
100	2864	25497
101	2884	25398
102	2903	25287
103	2924	25191
104	2944	25094
105	2965	25007
106	2985	24914
107	3005	24821
108	3017	24670
109	3030	24523
110	3043	24379
111	3057	24240
112	3070	24101
113	3083	23964
114	3096	23830
115	3108	23691
116	3120	23551
117	3132	23411
118	3143	23274
119	3155	23139
120	3167	23006
121	3180	22886
122	3191	22756
123	3203	22628
124	3214	22501
125	3225	22374
126	3237	22254
127	3249	22135
128	3260	22015
129	3272	21898
130	3284	21785
131	3295	21669
132	3306	21557
133	3317	21443
134	3329	21331
135	3340	21220
136	3350	21108
137	3362	21000
138	3373	20894
139	3384	20789
140	3395	20687
141	3406	20583
142	3418	20485
143	3429	20384
144	3439	20283
145	3450	20182
146	3461	20085
147	3472	19992
